Dataset,Matrix_Name,Rows,Columns,NNZ,Mean_NNZ_Per_Row,Std_Dev_NNZ,Max_NNZ_Per_Row,Empty_Rows,Empty_Rows_Percent,Config_Threads,Config_Threshold,Short_Rows,Short_Rows_Percent,Long_Rows,Long_Rows_Percent,Launch_Blocks,Launch_Short_Blocks,Launch_Long_Blocks,Execution_Time_Seconds,Bandwidth_GB_s,Performance_GFLOPS,Arithmetic_Intensity
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,512,256,1504002,100.0,0,0.0,2938,2938,0,0.001824,739.27,121.56,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,1024,16,0,0.0,1504002,100.0,47001,0,47001,0.003858,349.52,57.47,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,1024,32,8,0.0,1503994,100.0,47001,1,47000,0.003371,400.02,65.78,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,1024,64,15992,1.1,1488010,98.9,46517,16,46501,0.003964,340.18,55.94,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,1024,128,1504002,100.0,0,0.0,1469,1469,0,0.002282,590.85,97.16,0.164
ML_Geer,ML_Geer,1504002,1504002,110879972,73.72,2.51,74,0,0.00,1024,256,1504002,100.0,0,0.0,1469,1469,0,0.002218,608.01,99.98,0.164
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,128,16,15333,67.1,7502,32.9,1996,120,1876,0.000013,671.36,108.43,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,128,32,15614,68.4,7221,31.6,1928,122,1806,0.000013,669.28,108.09,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,128,64,19696,86.3,3139,13.7,939,154,785,0.000015,604.60,97.64,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,128,128,20978,91.9,1857,8.1,629,164,465,0.000018,484.50,78.25,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,128,256,22835,100.0,0,0.0,179,179,0,0.000031,286.64,46.29,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,256,16,15333,67.1,7502,32.9,998,60,938,0.000013,678.75,109.62,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,256,32,15614,68.4,7221,31.6,964,61,903,0.000013,686.30,110.84,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,256,64,19696,86.3,3139,13.7,470,77,393,0.000015,588.93,95.11,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,256,128,20978,91.9,1857,8.1,315,82,233,0.000020,448.27,72.40,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,256,256,22835,100.0,0,0.0,90,90,0,0.000036,244.44,39.48,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,512,16,15333,67.1,7502,32.9,499,30,469,0.000015,608.86,98.33,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,512,32,15614,68.4,7221,31.6,483,31,452,0.000014,617.57,99.74,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,512,64,19696,86.3,3139,13.7,236,39,197,0.000020,449.67,72.62,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,512,128,20978,91.9,1857,8.1,158,41,117,0.000031,288.95,46.66,0.162
Zd_Jac3_db,Zd_Jac3_db,22835,22835,713907,31.26,58.96,224,0,0.00,512,256,22835,100.0,0,0.0,45,45,0,0.000036,248.81,40.18,0.162
